,Brand,count,Percentage,state,year,quarter
352,Xiaomi,5518238,0.24537466690980703,andhra-pradesh,2021,4
353,Vivo,4381023,0.194807121285672,andhra-pradesh,2021,4
354,Samsung,4017419,0.178639059961192,andhra-pradesh,2021,4
355,Oppo,2580845,0.11476017928564101,andhra-pradesh,2021,4
356,Realme,2528884,0.11244967490592801,andhra-pradesh,2021,4
357,Apple,544986,0.024233416213745,andhra-pradesh,2021,4
358,OnePlus,525373,0.023361302082006003,andhra-pradesh,2021,4
359,Motorola,474422,0.021095708489681002,andhra-pradesh,2021,4
360,Huawei,409934,0.018228176947968,andhra-pradesh,2021,4
361,Lenovo,224391,0.009977798507885001,andhra-pradesh,2021,4
362,Others,1283514,0.057072895410468005,andhra-pradesh,2021,4
363,Xiaomi,5743382,0.24073240824411102,andhra-pradesh,2022,1
364,Vivo,4772765,0.200049241445755,andhra-pradesh,2022,1
365,Samsung,4124296,0.172868826832614,andhra-pradesh,2022,1
366,Realme,2864092,0.120047693953265,andhra-pradesh,2022,1
367,Oppo,2780974,0.11656382394280201,andhra-pradesh,2022,1
368,Apple,594003,0.024897485957616,andhra-pradesh,2022,1
369,OnePlus,580737,0.024341444912851003,andhra-pradesh,2022,1
370,Motorola,463652,0.019433856662711,andhra-pradesh,2022,1
371,Huawei,401477,0.016827807216135002,andhra-pradesh,2022,1
372,Lenovo,222586,0.00932963606137,andhra-pradesh,2022,1
373,Others,1309987,0.054907774770767005,andhra-pradesh,2022,1
374,Xiaomi,5212,0.242474994184694,arunachal-pradesh,2018,1
375,Samsung,4354,0.20255873458943902,arunachal-pradesh,2018,1
376,Vivo,3523,0.163898581065364,arunachal-pradesh,2018,1
377,Oppo,2608,0.12133054198650801,arunachal-pradesh,2018,1
378,Realme,1297,0.060339613863689,arunachal-pradesh,2018,1
379,Apple,628,0.029216096766689,arunachal-pradesh,2018,1
380,Gionee,563,0.026192137706443002,arunachal-pradesh,2018,1
381,Lenovo,420,0.0195394277739,arunachal-pradesh,2018,1
382,OnePlus,403,0.018748546173528002,arunachal-pradesh,2018,1
383,Motorola,343,0.015957199348685003,arunachal-pradesh,2018,1
384,Others,2144,0.09974412654105601,arunachal-pradesh,2018,1
385,Xiaomi,8058,0.245050634066234,arunachal-pradesh,2018,2
386,Samsung,6633,0.20171517197336,arunachal-pradesh,2018,2
387,Vivo,5591,0.17002706565702602,arunachal-pradesh,2018,2
388,Oppo,4204,0.127847215886628,arunachal-pradesh,2018,2
389,Realme,1943,0.059088282699267004,arunachal-pradesh,2018,2
390,Apple,869,0.026427029164005002,arunachal-pradesh,2018,2
391,Gionee,730,0.022199920931788002,arunachal-pradesh,2018,2
392,Lenovo,581,0.017668704193656,arunachal-pradesh,2018,2
393,OnePlus,554,0.016847611227686,arunachal-pradesh,2018,2
394,Motorola,514,0.015631177204026,arunachal-pradesh,2018,2
395,Others,3206,0.09749718699632001,arunachal-pradesh,2018,2
396,Xiaomi,11250,0.244980619311005,arunachal-pradesh,2018,3
397,Samsung,9307,0.20266974434911303,arunachal-pradesh,2018,3
